CÓDIGO	LARGURA	COMPRIMENTO	BITOLA	CLASSE	ESPECIFICAÇÃO	QUALIDADE	ITEM	PEÇA (M3)	PEÇA (PLT)	SITUAÇÃO
ACB0549	1,220	2,440	22	TABLEROS PLY PLASTIFICADO	11 PLY COMBI WBP E1	 - 1ª PERMUTA	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,220 X 2,440 X 22mm 11ply - 1ª PERMUTA	0,06548960	43,0000	ATIVO
ACB0380	1,220	2,440	24	TABLEROS PLY PLASTIFICADO	13 PLY COMBI WBP E1	 - 1ª PERMUTA	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,220 X 2,440 X 24mm 13ply - 1ª PERMUTA	0,07144320	41,0000	ATIVO
ACB23201	1,250	2,500	9	TABLEROS PLY PLASTIFICADO	5 PLY COMBI WBP E1	 - 1ª PERMUTA	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,250 X 2,500 X 9mm 5ply - 1ª PERMUTA	0,02812500	100,0000	ATIVO
ACB0835	1,250	2,500	12	TABLEROS PLY PLASTIFICADO	7 PLY COMBI WBP E1	 - 1ª PERMUTA	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,250 X 2,500 X 12mm 7ply - 1ª PERMUTA	0,03750000	75,0000	ATIVO
ACB1029	1,250	2,500	15	TABLEROS PLY PLASTIFICADO	7 PLY COMBI WBP E1	 - 1ª PERMUTA	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,250 X 2,500 X 15mm 7ply - 1ª PERMUTA	0,04687500	60,0000	ATIVO
ACB1098	1,250	2,500	18	TABLEROS PLY PLASTIFICADO	9 PLY COMBI WBP E1	 - 1ª PERMUTA	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,250 X 2,500 X 18mm 9ply - 1ª PERMUTA	0,05625000	50,0000	ATIVO
ACB0815	1,250	2,500	21	TABLEROS PLY PLASTIFICADO	11 PLY COMBI WBP E1	 - 1ª PERMUTA	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,250 X 2,500 X 21mm 11ply - 1ª PERMUTA	0,06562500	43,0000	ATIVO
ACB0897	1,250	2,500	22	TABLEROS PLY PLASTIFICADO	11 PLY COMBI WBP E1	 - 1ª PERMUTA	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,250 X 2,500 X 22mm 11ply - 1ª PERMUTA	0,06875000	43,0000	ATIVO
ACB297	1,250	2,500	24	TABLEROS PLY PLASTIFICADO	13 PLY COMBI WBP E1	 - 1ª PERMUTA	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,250 X 2,500 X 24mm 13ply - 1ª PERMUTA	0,07500000	41,0000	ATIVO
ACB0264	1,220	2,440	9	TABLEROS PLY PLASTIFICADO	5 PLY COMBI WBP E1	- 2ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,220 X 2,440 X 9mm 5ply - 2ª QUALIDADE	0,02679120	100,0000	ATIVO
ACB0790	1,220	2,440	12	TABLEROS PLY PLASTIFICADO	7 PLY COMBI WBP E1	- 2ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,220 X 2,440 X 12mm 7ply - 2ª QUALIDADE	0,03572160	75,0000	ATIVO
ACB0339	1,220	2,440	15	TABLEROS PLY PLASTIFICADO	7 PLY COMBI WBP E1	- 2ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,220 X 2,440 X 15mm 7ply - 2ª QUALIDADE	0,04465200	60,0000	ATIVO
ACB0107	1,220	2,440	18	TABLEROS PLY PLASTIFICADO	9 PLY COMBI WBP E1	- 2ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,220 X 2,440 X 18mm 9ply - 2ª QUALIDADE	0,05358240	50,0000	ATIVO
ACB0797	1,220	2,440	21	TABLEROS PLY PLASTIFICADO	11 PLY COMBI WBP E1	- 2ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,220 X 2,440 X 21mm 11ply - 2ª QUALIDADE	0,06251280	43,0000	ATIVO
ACB0384	1,220	2,440	22	TABLEROS PLY PLASTIFICADO	11 PLY COMBI WBP E1	- 2ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,220 X 2,440 X 22mm 11ply - 2ª QUALIDADE	0,06548960	43,0000	ATIVO
ACB0596	1,220	2,440	24	TABLEROS PLY PLASTIFICADO	13 PLY COMBI WBP E1	- 2ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,220 X 2,440 X 24mm 13ply - 2ª QUALIDADE	0,07144320	41,0000	ATIVO
ACB0433	1,250	2,500	9	TABLEROS PLY PLASTIFICADO	5 PLY COMBI WBP E1	- 2ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,250 X 2,500 X 9mm 5ply - 2ª QUALIDADE	0,02812500	100,0000	ATIVO
ACB0332	1,250	2,500	12	TABLEROS PLY PLASTIFICADO	7 PLY COMBI WBP E1	- 2ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,250 X 2,500 X 12mm 7ply - 2ª QUALIDADE	0,03750000	75,0000	ATIVO
ACB0106	1,250	2,500	15	TABLEROS PLY PLASTIFICADO	7 PLY COMBI WBP E1	- 2ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,250 X 2,500 X 15mm 7ply - 2ª QUALIDADE	0,04687500	60,0000	ATIVO
ACB01000	1,250	2,500	18	TABLEROS PLY PLASTIFICADO	9 PLY COMBI WBP E1	- 2ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,250 X 2,500 X 18mm 9ply - 2ª QUALIDADE	0,05625000	50,0000	ATIVO
ACB0798	1,250	2,500	21	TABLEROS PLY PLASTIFICADO	11 PLY COMBI WBP E1	- 2ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,250 X 2,500 X 21mm 11ply - 2ª QUALIDADE	0,06562500	43,0000	ATIVO
ACB0067	1,250	2,500	22	TABLEROS PLY PLASTIFICADO	11 PLY COMBI WBP E1	- 2ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,250 X 2,500 X 22mm 11ply - 2ª QUALIDADE	0,06875000	43,0000	ATIVO
ACB1024	1,250	2,500	24	TABLEROS PLY PLASTIFICADO	13 PLY COMBI WBP E1	- 2ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,250 X 2,500 X 24mm 13ply - 2ª QUALIDADE	0,07500000	41,0000	ATIVO
ACB0256	1,220	2,440	9	TABLEROS PLY PLASTIFICADO	5 PLY COMBI WBP E1	- 3ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,220 X 2,440 X 9mm 5ply - 3ª QUALIDADE	0,02679120	100,0000	ATIVO
ACB0901	1,220	2,440	12	TABLEROS PLY PLASTIFICADO	7 PLY COMBI WBP E1	- 3ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,220 X 2,440 X 12mm 7ply - 3ª QUALIDADE	0,03572160	75,0000	ATIVO
ACB0398	1,220	2,440	15	TABLEROS PLY PLASTIFICADO	7 PLY COMBI WBP E1	- 3ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,220 X 2,440 X 15mm 7ply - 3ª QUALIDADE	0,04465200	60,0000	ATIVO
ACB0408	1,220	2,440	18	TABLEROS PLY PLASTIFICADO	9 PLY COMBI WBP E1	- 3ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,220 X 2,440 X 18mm 9ply - 3ª QUALIDADE	0,05358240	50,0000	ATIVO
ACB0410	1,220	2,440	21	TABLEROS PLY PLASTIFICADO	11 PLY COMBI WBP E1	- 3ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,220 X 2,440 X 21mm 11ply - 3ª QUALIDADE	0,06251280	43,0000	ATIVO
ACB0529	1,220	2,440	22	TABLEROS PLY PLASTIFICADO	11 PLY COMBI WBP E1	- 3ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,220 X 2,440 X 22mm 11ply - 3ª QUALIDADE	0,06548960	43,0000	ATIVO
ACB0385	1,220	2,440	24	TABLEROS PLY PLASTIFICADO	13 PLY COMBI WBP E1	- 3ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,220 X 2,440 X 24mm 13ply - 3ª QUALIDADE	0,07144320	41,0000	ATIVO
ACB0906	1,250	2,500	9	TABLEROS PLY PLASTIFICADO	5 PLY COMBI WBP E1	- 3ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,250 X 2,500 X 9mm 5ply - 3ª QUALIDADE	0,02812500	100,0000	ATIVO
ACB0144	1,250	2,500	12	TABLEROS PLY PLASTIFICADO	7 PLY COMBI WBP E1	- 3ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,250 X 2,500 X 12mm 7ply - 3ª QUALIDADE	0,03750000	75,0000	ATIVO
ACB0685	1,250	2,500	15	TABLEROS PLY PLASTIFICADO	7 PLY COMBI WBP E1	- 3ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,250 X 2,500 X 15mm 7ply - 3ª QUALIDADE	0,04687500	60,0000	ATIVO
ACB0434	1,250	2,500	18	TABLEROS PLY PLASTIFICADO	9 PLY COMBI WBP E1	- 3ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,250 X 2,500 X 18mm 9ply - 3ª QUALIDADE	0,05625000	50,0000	ATIVO
ACB0386	1,250	2,500	21	TABLEROS PLY PLASTIFICADO	11 PLY COMBI WBP E1	- 3ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,250 X 2,500 X 21mm 11ply - 3ª QUALIDADE	0,06562500	43,0000	ATIVO
ACB0387	1,250	2,500	22	TABLEROS PLY PLASTIFICADO	11 PLY COMBI WBP E1	- 3ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,250 X 2,500 X 22mm 11ply - 3ª QUALIDADE	0,06875000	43,0000	ATIVO
ACB0810	1,250	2,500	24	TABLEROS PLY PLASTIFICADO	13 PLY COMBI WBP E1	- 3ª QUALIDADE	TABLEROS PLY PLASTIFICADO COMBI WBP E1 1,250 X 2,500 X 24mm 13ply - 3ª QUALIDADE	0,07500000	41,0000	ATIVO
ACB0177	0,618	2,400	12	TABLEROS PLY	5 PLY C+/C T&G2 ERGO STYLE CE2+ FSC		TABLEROS PLY 12MM 5 PLY C+/C T&G2 ERGO STYLE CE2+ FSC 0,618 X 2,400	0,01779840	75,0000	ATIVO
ACB0579	1,220	2,440	15	TABLEROS PLY MESH FILM	7 PLY COMBI CE2+ FSC		TABLEROS PLY MESH FILM 15MM 7 PLY COMBI CE2+ FSC 1,220 X 2,440	0,04465200	60,0000	ATIVO
ACB0178	0,618	2,400	15	TABLEROS PLY	5 PLY C+/C T&G2 ERGO STYLE CE2+ FSC		TABLEROS PLY 15MM 5 PLY C+/C T&G2 ERGO STYLE CE2+ FSC 0,618 X 2,400	0,02224800	75,0000	ATIVO
ACB0206	0,600	2,440	18	TABLEROS PLY	7 PLY C+/C T&G4 CE2+ CARB FSC		TABLEROS PLY 18MM 7 PLY C+/C T&G4 CE2+ CARB FSC 0,600 X 2,440	0,02635200	50,0000	ATIVO
ACB0733	0,590	2,440	18	TABLEROS PLY	7 PLY C+/C T&G4 CE2+ FSC		TABLEROS PLY 18MM 7 PLY C+/C T&G4 CE2+ FSC 0,590 X 2,440	0,02591280	50,0000	ATIVO
